,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Car_Age,Company_Name,Model_Name
0,Mahindra Scorpio,Pune,2012,99000,Diesel,Manual,Third,Black/Silver,8,5,6,12.05,kmpl,2179,CC,120,bhp,13,Mahindra,Scorpio
1,Maruti Baleno,Kochi,2018,18678,Petrol,Manual,First,Others,5,4,8.32,21.1,kmpl,998,CC,100,bhp,7,Maruti,Baleno
2,Mahindra Xylo,Bangalore,2013,197000,Diesel,Manual,First,White,7,5,4,11.68,kmpl,2498,CC,112,bhp,12,Mahindra,Xylo
3,Hyundai Grand,Delhi,2014,45000,Diesel,Manual,First,White,5,4,3.49,24,kmpl,1120,CC,70,bhp,11,Hyundai,Grand
4,Toyota Innova,Delhi,2011,65000,Diesel,Manual,First,Others,8,5,6.4,12.8,kmpl,2494,CC,102,bhp,14,Toyota,Innova
5,Honda WRV,Kochi,2018,15135,Petrol,Manual,First,White,5,4,9.29,17.5,kmpl,1199,CC,88.7,bhp,7,Honda,WRV
6,Hyundai Verna,Bangalore,2016,79000,Diesel,Manual,First,White,5,4,7.25,24.8,kmpl,1396,CC,88.7,bhp,9,Hyundai,Verna
7,Toyota Fortuner,Pune,2015,36000,Diesel,Automatic,First,White,7,5,22,12.55,kmpl,2982,CC,168.5,bhp,10,Toyota,Fortuner
8,Toyota Innova,Hyderabad,2009,156056,Diesel,Manual,First,Others,8,5,8.5,12.8,kmpl,2494,CC,102,bhp,16,Toyota,Innova
9,Chevrolet Beat,Hyderabad,2012,61250,Diesel,Manual,First,Others,5,4,2.7,25.44,kmpl,936,CC,57.6,bhp,13,Chevrolet,Beat
10,Toyota Innova,Hyderabad,2007,199000,Diesel,Manual,Second,Others,7,4,5.2,12.8,kmpl,2494,CC,102,bhp,18,Toyota,Innova
11,Audi A6,Ahmedabad,2008,41000,Petrol,Automatic,Second,White,5,4,10.5,10.4,kmpl,2773,CC,201,bhp,17,Audi,A6
12,Hyundai i20,Delhi,2017,17431,Petrol,Manual,First,Black/Silver,5,4,6,18.6,kmpl,1197,CC,81.83,bhp,8,Hyundai,i20
13,Skoda Laura,Mumbai,2009,48000,Diesel,Automatic,Second,White,5,4,2.95,17,kmpl,1896,CC,105,bhp,16,Skoda,Laura
14,Honda City,Mumbai,2015,10400,Petrol,Manual,First,Black/Silver,5,4,6.51,17.4,kmpl,1497,CC,117.3,bhp,10,Honda,City
15,Maruti Baleno,Delhi,2017,33000,Diesel,Manual,First,Black/Silver,5,4,6.96,27.39,kmpl,1248,CC,74,bhp,8,Maruti,Baleno
16,Audi Q7,Pune,2009,94000,Diesel,Automatic,Second,White,7,5,12,12.07,kmpl,2967,CC,241.4,bhp,16,Audi,Q7
17,Renault Duster,Bangalore,2014,70000,Diesel,Manual,First,Black/Silver,5,4,8.25,19.01,kmpl,1461,CC,108.45,bhp,11,Renault,Duster
18,Maruti Ertiga,Chennai,2012,40000,Diesel,Manual,First,Others,7,5,7,20.77,kmpl,1248,CC,88.8,bhp,13,Maruti,Ertiga
19,Land Rover Freelander,Hyderabad,2012,139000,Diesel,Automatic,First,Black/Silver,5,4,16.75,0,kmpl,2179,CC,115,bhp,13,Land Rover,Freelander
20,Skoda Rapid,Mumbai,2014,35000,Petrol,Manual,First,Black/Silver,5,4,4.5,15,kmpl,1598,CC,103.52,bhp,11,Skoda,Rapid
21,Maruti Zen,Pune,2007,42000,Petrol,Manual,Third,Others,5,4,1.3,18.2,kmpl,998,CC,67.1,bhp,18,Maruti,Zen
22,BMW 3,Mumbai,2014,48000,Diesel,Automatic,First,Others,5,4,26.5,21.76,kmpl,1995,CC,190,bhp,11,BMW,3
23,Hyundai i20,Bangalore,2015,59000,Petrol,Manual,First,Black/Silver,5,4,5.75,18.5,kmpl,1197,CC,80,bhp,10,Hyundai,i20
24,Maruti Wagon,Chennai,2013,79000,Petrol,Manual,First,White,5,4,3,18.9,kmpl,998,CC,67.1,bhp,12,Maruti,Wagon
25,Honda Jazz,Kolkata,2010,45000,Petrol,Manual,First,White,5,4,2,16,kmpl,1198,CC,90,bhp,15,Honda,Jazz
26,Maruti Wagon,Ahmedabad,2008,60123,Petrol,Manual,Second,Others,5,4,1.95,18.9,kmpl,998,CC,67.1,bhp,17,Maruti,Wagon
27,Maruti Vitara,Coimbatore,2018,64456,Diesel,Manual,First,White,5,4,10.46,24.3,kmpl,1248,CC,88.5,bhp,7,Maruti,Vitara
28,ISUZU D-MAX,Jaipur,2017,25000,Diesel,Manual,First,Others,5,4,8,12.4,kmpl,2499,CC,134,bhp,8,ISUZU,D-MAX
29,Maruti SX4,Delhi,2011,75000,Diesel,Manual,First,Black/Silver,5,4,2.5,21.5,kmpl,1248,CC,88.8,bhp,14,Maruti,SX4
30,Hyundai i10,Coimbatore,2014,31446,Petrol,Manual,First,Others,5,4,4.66,20.36,kmpl,1197,CC,78.9,bhp,11,Hyundai,i10
31,Honda Amaze,Hyderabad,2014,97236,Diesel,Manual,First,White,5,4,4.4,25.8,kmpl,1498,CC,98.6,bhp,11,Honda,Amaze
32,Maruti Wagon,Kochi,2011,15466,Petrol,Manual,First,White,5,4,3.36,22.5,kmpl,998,CC,67.04,bhp,14,Maruti,Wagon
33,Hyundai Xcent,Pune,2016,51000,Diesel,Manual,First,White,5,4,5.25,24.4,kmpl,1120,CC,71,bhp,9,Hyundai,Xcent
34,Jaguar F,Hyderabad,2015,8000,Petrol,Automatic,First,Others,2,2,100,12.5,kmpl,5000,CC,488.1,bhp,10,Jaguar,F
